timestamp_ns,sequence_number,price,quantity,buy_order_id,sell_order_id
243576750,14,10100,100,7,6
293793147,20,10000,200,5,9
470047265,32,10100,100,13,8
829354463,58,10100,200,21,12
896924030,64,10000,200,18,23
1051849582,74,10000,100,22,27
1294128779,96,10000,100,26,31
1294128779,98,10000,100,28,31
1315522718,104,10000,200,29,33
1315522718,106,10000,200,30,33
1315522718,108,10000,100,32,33
1598260882,120,9998,100,14,37
1719686060,131,9998,100,38,40
1719686060,133,9998,100,39,40
1816106186,138,9998,100,39,43
2304552824,174,10000,100,51,55
2515955547,192,10100,100,61,50
2929288497,228,10000,200,56,73
2954453202,236,10000,100,59,75
2978659920,240,10000,200,63,76
2978659920,242,10000,500,64,76
2978659920,244,10000,100,65,76
2978659920,246,10000,200,66,76
3128150057,268,10100,100,85,68
3217373930,280,10000,100,71,89
3222962951,284,10100,100,90,69
3281369083,288,10000,100,71,91
3566224363,318,10000,100,81,101
3581742565,322,10101,100,102,48
3778236478,342,10101,100,109,48
4080473480,374,10000,100,96,117
4204812448,396,10000,100,100,124
4325431493,412,10101,100,128,92
4467669824,426,10101,100,131,107
4636725554,448,10101,100,138,123
4999017725,470,10000,100,115,144
4999017725,472,10000,100,121,144
5151893565,484,10101,200,148,137
5202546009,488,10000,100,122,149
5494465430,530,10101,100,162,141
5494465430,532,10101,100,162,142
5494465430,534,10101,100,162,143
5494465430,536,10101,200,162,146
5526836761,540,10101,100,163,147
5526836761,542,10101,100,163,154
5526836761,544,10101,500,163,156
5526836761,546,10101,100,163,158
5526836761,548,10102,200,163,93
5661532179,558,10000,200,135,167
5661532179,560,10000,300,145,167
5706007644,570,10102,100,170,119
5718386253,574,10102,100,171,127
5718386253,576,10102,100,171,151
5915524837,592,10102,100,176,165
5915524837,594,10102,400,176,166
6177379231,612,10102,100,181,174
6177379231,614,10102,100,181,178
6621175887,642,10102,200,189,180
6621175887,644,10102,100,189,182
6621175887,646,10102,100,189,183
6621175887,648,10102,100,189,184
6621175887,650,10102,100,189,186
6621175887,652,10102,100,189,187
6621175887,654,10103,200,189,113
6621175887,656,10104,100,189,97
6624362714,660,10000,200,164,190
6729465257,671,10000,100,164,195
6871222305,684,10000,100,172,198
7027175892,703,10100,100,204,200
7027175892,705,10100,100,204,202
7105807514,715,10000,100,185,207
7105807514,717,10000,400,191,207
7279076740,733,10000,100,194,212
7285626554,737,10000,100,196,213
7285626554,739,10000,100,197,213
7285626554,741,10000,500,201,213
7285626554,743,10000,200,210,213
7285626554,745,10000,100,211,213
7292836479,749,9999,100,74,214
7313341258,753,9999,100,74,215
7465231919,763,9999,200,118,217
7592964984,773,10103,100,218,208
